settlement,cell_x,cell_y,region,landmass,tier,faction,is_capital
Maar Gan,-3,12,Ashlands,Vvardenfell,Town,Redoran,No
Urshilaku,-4,18,Ashlands,Vvardenfell,Outpost/Fortress/Camp,Ashlanders,No
Indarys Manor,-5,9,Ashlands,Vvardenfell,Outpost/Fortress/Camp,Redoran,No
Ald-Ruhn,-2,6,Ashlands,Vvardenfell,Small City,Redoran,No
Ald-Ruhn,-3,6,Ashlands,Vvardenfell,Small City,Redoran,No
Ald-Ruhn,-2,7,Ashlands,Vvardenfell,Small City,Redoran,No
Ghostgate,2,4,Ashlands,Vvardenfell,Outpost/Fortress/Camp,Tribunal Temple,No
Dagon Fel,7,22,Sheogorad,Vvardenfell,Village,Empire,No
Fort Buckmoth,-2,5,Ashlands,Vvardenfell,Outpost/Fortress/Camp,Empire,No
Big Head's Shack,-2,24,Sheogorad,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Rayna Drolan's Shack,3,24,Sheogorad,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Balmora,-2,-2,West Gash,Vvardenfell,Small City,Hlaalu,No
Balmora,-3,-2,West Gash,Vvardenfell,Small City,Hlaalu,No
Balmora,-4,-2,West Gash,Vvardenfell,Small City,Hlaalu,No
Balmora,-3,-3,West Gash,Vvardenfell,Small City,Hlaalu,No
Fort Moonmoth,-1,-3,West Gash,Vvardenfell,Outpost/Fortress/Camp,Empire,No
Caldera,-2,2,West Gash,Vvardenfell,Town,Empire,No
Caldera Mine,-3,1,West Gash,Vvardenfell,Minor location,Hlaalu,No
Sjorvar's House,-5,4,West Gash,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Drulene Falen's Hut,-7,6,West Gash,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Mila Nipal,-6,10,West Gash,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Gnisis,-11,10,West Gash,Vvardenfell,Town,Redoran,No
Gnisis,-11,11,West Gash,Vvardenfell,Town,Redoran,No
Gnisis,-10,11,West Gash,Vvardenfell,Town,Redoran,No
Arvs-Drelen,-11,11,West Gash,Vvardenfell,Minor location,Telvanni,No
Aidapat,-11,14,West Gash,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Ald Velothi,-11,15,West Gash,Vvardenfell,Village,Redoran,No
Khuul,-9,16,West Gash,Vvardenfell,Village,Redoran,No
Khuul,-9,17,West Gash,Vvardenfell,Village,Redoran,No
Gnaar Mok,-8,3,Bitter Coast,Vvardenfell,Village,Hlaalu,No
Rethan Manor,-5,-5,Bitter Coast,Vvardenfell,Outpost/Fortress/Camp,Hlaalu,No
Hla Oad,-6,-5,Bitter Coast,Vvardenfell,Village,Hlaalu,No
Grytewake,-7,-6,Bitter Coast,Vvardenfell,Minor location,Velothi/Unaffiliated,No
Seyda Neen,-2,-9,Bitter Coast,Vvardenfell,Village,Empire,No
Seyda Neen,-2,-10,Bitter Coast,Vvardenfell,Village,Empire,No
Pelagiad,0,-7,Ascadian Isles,Vvardenfell,Village,Empire,No
Pelagiad,0,-8,Ascadian Isles,Vvardenfell,Village,Empire,No
Ebonheart,1,-13,Ascadian Isles,Vvardenfell,Outpost/Fortress/Camp,Empire,No
Ebonheart,2,-13,Ascadian Isles,Vvardenfell,Outpost/Fortress/Camp,Empire,No
Vivec,3,-9,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,2,-10,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
Vivec,3,-10,Ascadian Isles,Vvardenfell,Metropolis,Tribunal Temple,No
